"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20151",2906504,43,0,"1",.,"A"
"20151",2906513,20,0,"1",.,"A"
"20151",2906523,27,0,"1",.,"A"
"20151",2906564,36,0,"1",.,"A"
"20151",2906573,11,0,"1",.,"A"
"20151",2906583,20,0,"1",.,"A"
"20151",2906603,46,0,"1",.,"A"
"20151",2906633,11,0,"1",.,"A"
"20151",2906653,36,0,"1",.,"A"
"20151",2906683,51,0,"1",.,"A"
"20151",2906703,27,0,"1",.,"A"
"20151",2906723,13,0,"1",.,"A"
"20151",2906743,19,0,"1",.,"A"
"20151",2906763,35,0,"1",.,"A"
"20151",2906773,20,0,"1",30,"D"
"20151",2906783,11,0,"1",.,"A"
"20151",2906803,27,0,"1",.,"A"
"20151",2906823,10,0,"1",.,"A"
"20151",2906843,43,0,"1",.,"A"
"20151",2906853,47,0,"1",.,"A"
"20151",2906863,66,0,"1",.,"A"
"20151",2906883,52,0,"1",.,"A"
"20151",2906895,71,0,"1",.,"A"
"20151",2906913,16,0,"1",.,"A"
"20151",2906993,24,0,"1",.,"A"
"20151",2907003,50,0,"1",.,"A"
"20151",2907023,8,0,"1",.,"A"
"20151",2907043,18,0,"1",.,"A"
