"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20141",2651895,26,0,"1","150","D","1","D",6,"D","11","D"
"20141",2651895,27,0,"1","150","D","1","D",6,"D","12","D"
"20141",2651915,20,0,"1","150","D","1","D",23,"D","10","D"
"20141",2651915,21,0,"1","150","D","1","D",23,"D","11","D"
"20141",2651915,22,0,"1","150","D","1","D",23,"D","12","D"
"20141",2651925,27,0,"1","830","D","1","D",65,"D","13","D"
"20141",2651965,31,0,"1","610","D","1","D",90,"D","11","D"
"20141",2651975,9,0,"1","830","D","1","D",45,"D","13","D"
"20141",2651975,10,0,"1","340","D","1","D",35,"D","11","D"
"20141",2652045,14,0,"1","350","D","1","D",6,"D","13","D"
"20141",2652105,22,0,"1","150","D","1","D",60,"D","11","D"
"20141",2652105,23,0,"1","210","D","1","D",300,"D","11","D"
"20141",2652115,29,0,"1","510","D","1","D",25,"D","12","D"
"20141",2652115,30,0,"1","210","D","1","D",10,"D","12","D"
"20141",2652115,31,0,"1","340","D","1","D",20,"D","12","D"
"20141",2652115,32,0,"1","370","D","2","D",60,"D","12","D"
"20141",2652125,23,0,"1","830","D","1","D",10,"D","13","D"
"20141",2652125,24,0,"1","610","D","1","D",100,"D","10","D"
"20141",2652125,25,0,"1","610","D","1","D",100,"D","11","D"
"20141",2652125,26,0,"1","610","D","1","D",100,"D","12","D"
"20141",2652125,27,0,"1","510","D","1","D",50,"D","10","D"
"20141",2652125,28,0,"1","510","D","1","D",50,"D","11","D"
"20141",2652125,29,0,"1","510","D","1","D",50,"D","12","D"
"20141",2652125,30,0,"1","350","D","1","D",15,"D","10","D"
"20141",2652125,31,0,"1","350","D","1","D",15,"D","11","D"
"20141",2652125,32,0,"1","350","D","1","D",15,"D","12","D"
"20141",2652165,22,0,"1","510","D","1","D",14,"D","12","D"
"20141",2652165,23,0,"1","160","D","1","D",12,"D","12","D"
"20141",2652195,43,0,"1","830","D","1","D",110,"D","13","D"
"20141",2652195,44,0,"1","830","D","1","D",400,"D","13","D"
"20141",2652195,45,0,"1","500","D","1","D",200,"D","11","D"
"20141",2652195,46,0,"1","150","D","1","D",105,"D","11","D"
"20141",2652195,47,0,"1","360","D","1","D",18,"D","13","D"
"20141",2652205,35,0,"1","800","D","1","D",650,"D","13","D"
"20141",2652205,36,0,"1","510","D","1","D",100,"D","12","D"
"20141",2652205,37,0,"1","330","D","1","D",3,"D","13","D"
