"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","EDUC_AY","EDUC_AY_","EDUCGFTC","EDUC_FTC","EDSCHL_A","EDSC_L_A","EDMONTHA","EDMO_THA","EDREIMBX","EDRE_MBX","JEDUCNET","JEDU_NET","EDUC_A1","EDUC_A1_","EDUC_A2","EDUC_A2_","EDUC_A3","EDUC_A3_","EDUC_A4","EDUC_A4_","EDUC_A5","EDUC_A5_","EDUC_A6","EDUC_A6_","EDUC_A7","EDUC_A7_","EDUC_A8","EDUC_A8_","EDUC_A9","EDUC_A9_"
"20144",2933572,7,0,"1","300","D","1","D","1","D","09","D",.,"A",1200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933572,8,0,"1","350","D","1","D","1","D","09","D",.,"A",1500,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933572,9,0,"2","100","D","1","D",,"A","08","D",.,"A",1200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933572,10,0,"2","350","D","1","D","1","D","08","D",.,"A",1500,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2944304,6,0,"1","310","D","1","D",,"A","13","D",.,"A",1040,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2944382,4,0,"1","300","D","1","D","2","D","13","D",.,"A",600,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2944382,5,0,"1","200","D","1","D",,"A","13","D",.,"A",1400,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2944382,6,0,"2","300","D","1","D","2","D","09","D",.,"A",600,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2944552,6,0,"1","200","D","1","D",,"A","13","D",.,"A",880,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2944582,3,0,"1","200","D","2","D",,"A","13","D",.,"A",800,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2944663,2,0,"1","360","D","1","D",,"A","09","D",.,"A",120,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2944752,7,0,"1","300","D","1","D","5","D","11","D",.,"A",299,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2944892,6,0,"1","350","D","1","D","2","D","11","D",.,"A",25,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2944922,6,0,"1","300","D","1","D","1","D","09","D",.,"A",1200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2944972,21,0,"1","100","D","1","D",,"A","13","D",.,"A",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2944972,22,0,"1","100","D","1","D",,"A","13","D",.,"A",275,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945034,2,0,"1","360","D","1","D",,"A","10","D",.,"A",130,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945082,4,0,"1","350","D","1","D","1","D","09","D",.,"A",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945162,24,0,"1","100","D","1","D",,"A","13","D",.,"A",320,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945162,25,0,"1","300","D","1","D","6","D","09","D",.,"A",8500,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945162,26,0,"1","350","D","1","D","2","D","11","D",.,"A",8,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945162,27,0,"1","350","D","1","D","2","D","11","D",.,"A",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945162,28,0,"1","350","D","1","D","1","D","09","D",.,"A",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945162,29,0,"2","350","D","1","D","1","D","09","D",.,"A",300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945172,4,0,"1","100","D","1","D",,"A","09","D",.,"A",250,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945192,12,0,"2","360","D","1","D",,"A","09","D",.,"A",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945212,1,0,"1","300","D","1","D","1","D","11","D",.,"A",1400,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945212,2,0,"1","350","D","1","D","1","D","11","D",.,"A",67,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945252,5,0,"1","360","D","1","D",,"A","09","D",.,"A",850,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945252,6,0,"1","360","D","1","D",,"A","10","D",.,"A",850,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945252,7,0,"2","300","D","1","D","1","D","09","D",.,"A",1500,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945592,20,0,"1","300","D","1","D","1","D","09","D",.,"A",2003,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945592,21,0,"1","350","D","1","D","1","D","09","D",.,"A",230,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945702,3,0,"1","200","D","1","D",,"A","13","D",.,"A",315,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945702,4,0,"1","200","D","1","D",,"A","13","D",.,"A",1500,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945792,2,0,"1","200","D","1","D",,"A","13","D",.,"A",424,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2945942,6,0,"2","350","D","1","D","1","D","09","D",.,"A",255,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2946002,7,0,"1","360","D","1","D",,"A","09","D",.,"A",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2946002,8,0,"1","100","D","1","D",,"A","10","D",.,"A",300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2946012,3,0,"1","345","D","1","D",,"A","11","D",.,"A",1700,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2946012,4,0,"1","310","D","1","D",,"A","13","D",.,"A",580,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2946012,5,0,"1","350","D","1","D","1","D","09","D",.,"A",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2946204,5,0,"1","350","D","1","D","1","D","09","D",.,"A",70,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2946204,6,0,"1","360","D","1","D",,"A","10","D",.,"A",225,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
