"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20143",2813073,44,0,"1","420","D","07","D",300,"D",,"A",,"A",,"A",,"A"
"20143",2813073,45,0,"2","420","D","06","D",120,"D",,"A",,"A",,"A",,"A"
"20143",2813153,37,0,"1","420","D","07","D",23,"D",,"A",,"A",,"A",,"A"
"20143",2813153,38,0,"1","405","D","07","D",52,"D",,"A",,"A",,"A",,"A"
"20143",2813243,46,0,"2","410","D","06","D",22,"D",,"A",,"A",,"A",,"A"
"20143",2813463,89,0,"1","420","D","08","D",101,"D",,"A",,"A",,"A",,"A"
"20143",2813463,90,0,"1","420","D","07","D",101,"D",,"A",,"A",,"A",,"A"
"20143",2813483,44,0,"2","420","D","06","D",36,"D",,"A",,"A",,"A",,"A"
"20143",2813483,45,0,"2","420","D","06","D",198,"D",,"A",,"A",,"A",,"A"
"20143",2813773,49,0,"1","410","D","08","D",20,"D",,"A",,"A",,"A",,"A"
"20143",2813773,50,0,"1","420","D","08","D",240,"D",,"A",,"A",,"A",,"A"
"20143",2813793,23,0,"1","410","D","06","D",46,"D",,"A",,"A",,"A",,"A"
"20143",2813803,46,0,"1","420","D","07","D",72,"D",,"A",,"A",,"A",,"A"
"20143",2813893,31,0,"1","420","D","08","D",95,"D",,"A",,"A",,"A",,"A"
"20143",2813923,32,0,"1","410","D","08","D",90,"D",,"A",,"A",,"A",,"A"
"20143",2813973,70,0,"1","420","D","08","D",56,"D",,"A",,"A",,"A",,"A"
"20143",2814023,53,0,"1","420","D","08","D",36,"D",,"A",,"A",,"A",,"A"
"20143",2814043,59,0,"1","405","D","06","D",363,"D",,"A",,"A",,"A",,"A"
"20143",2814153,27,0,"1","420","D","07","D",30,"D",,"A",,"A",,"A",,"A"
"20143",2814203,48,0,"1","410","D","07","D",60,"D",,"A",,"A",,"A",,"A"
"20143",2814243,41,0,"2","400","D","06","D",10,"D",,"A",,"A",,"A",,"A"
"20143",2814292,83,0,"1","400","D","06","D",50,"D",,"A",,"A",,"A",,"A"
"20143",2814292,84,0,"1","420","D","06","D",110,"D",,"A",,"A",,"A",,"A"
"20143",2814312,49,0,"1","420","D","05","D",25,"D",,"A",,"A",,"A",,"A"
"20143",2814432,35,0,"1","400","D","06","D",20,"D",,"A",,"A",,"A",,"A"
"20143",2814462,48,0,"1","420","D","06","D",264,"D",,"A",,"A",,"A",,"A"
"20143",2814472,38,0,"1","400","D","04","D",18,"D",,"A",,"A",,"A",,"A"
"20143",2814522,16,0,"1","420","D","06","D",76,"D",,"A",,"A",,"A",,"A"
"20143",2814622,60,0,"1","420","D","04","D",112,"D",,"A",,"A",,"A",,"A"
"20143",2814632,44,0,"1","420","D","05","D",80,"D",,"A",,"A",,"A",,"A"
"20143",2814632,45,0,"1","420","D","06","D",160,"D",,"A",,"A",,"A",,"A"
"20143",2814672,95,0,"1","400","D","06","D",20,"D",,"A",,"A",,"A",,"A"
"20143",2814672,96,0,"1","420","D","05","D",140,"D",,"A",,"A",,"A",,"A"
"20143",2814682,17,0,"1","410","D","05","D",15,"D",,"A",,"A",,"A",,"A"
"20143",2814772,32,0,"1","410","D","05","D",60,"D",,"A",,"A",,"A",,"A"
